yolculuk_tarihi,tatil_gunu_mu,Pazartesi,Salı,Çarşamba,Perşembe,Cuma,Cumartesi,Pazar,saat_sin,saat_cos,yolcu_sayisi,yolcu_sayisi_scaled
2021-06-01,0,0,1,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,22344,0.5142114105544177
2021-06-01,0,0,1,0,0,0,0,0,-0.8660254037844385,0.5,14166,0.3259994016248188
2021-06-01,0,0,1,0,0,0,0,0,-0.7071067811865477,0.7071067811865474,9798,0.2254723711767278
2021-06-01,0,0,1,0,0,0,0,0,-0.5000000000000003,0.8660254037844383,3714,0.08545257876688685
2021-06-01,0,0,1,0,0,0,0,0,-0.2588190451025215,0.9659258262890682,1538,0.03537317898322248
2021-06-02,0,0,0,1,0,0,0,0,0.0,1.0,59,0.0013348369427631124
2021-06-02,0,0,0,1,0,0,0,0,0.9659258262890684,0.2588190451025208,962,0.022116867275781917
2021-06-02,0,0,0,1,0,0,0,0,1.0,6.123233995736766e-17,7113,0.16367862649881473
2021-06-02,0,0,0,1,0,0,0,0,0.9659258262890684,-0.2588190451025207,20258,0.46620330947504085
2021-06-02,0,0,0,1,0,0,0,0,0.8660254037844387,-0.4999999999999997,21404,0.49257784630963614
2021-06-02,0,0,0,1,0,0,0,0,0.7071067811865477,-0.7071067811865475,14479,0.33320291822973
2021-06-02,0,0,0,1,0,0,0,0,0.4999999999999999,-0.8660254037844386,11200,0.2577386021035189
2021-06-02,0,0,0,1,0,0,0,0,0.258819045102521,-0.9659258262890684,11703,0.26931486041748176
2021-06-02,0,0,0,1,0,0,0,0,1.2246467991473532e-16,-1.0,12605,0.2900738763204529
2021-06-02,0,0,0,1,0,0,0,0,-0.2588190451025208,-0.9659258262890684,13066,0.30068352857241487
2021-06-02,0,0,0,1,0,0,0,0,-0.4999999999999997,-0.8660254037844387,14047,0.3232606844491496
2021-06-02,0,0,0,1,0,0,0,0,-0.7071067811865471,-0.707106781186548,15198,0.3497502934339831
2021-06-02,0,0,0,1,0,0,0,0,-0.8660254037844383,-0.5000000000000003,17645,0.40606660376055786
2021-06-02,0,0,0,1,0,0,0,0,-0.9659258262890684,-0.2588190451025207,19473,0.44813698188764356
2021-06-02,0,0,0,1,0,0,0,0,-1.0,-1.8369701987210292e-16,24440,0.5624496559342709
2021-06-02,0,0,0,1,0,0,0,0,-0.9659258262890684,0.2588190451025203,22042,0.5072610526800304
2021-06-02,0,0,0,1,0,0,0,0,-0.8660254037844385,0.5,13700,0.3152746772226186
2021-06-02,0,0,0,1,0,0,0,0,-0.7071067811865477,0.7071067811865474,10419,0.23976433223631216
2021-06-02,0,0,0,1,0,0,0,0,-0.5000000000000003,0.8660254037844383,3859,0.08878967112379463
2021-06-02,0,0,0,1,0,0,0,0,-0.2588190451025215,0.9659258262890682,1604,0.036892131366366716
2021-06-03,0,0,0,0,1,0,0,0,0.0,1.0,69,0.0015649812432395112
2021-06-03,0,0,0,0,1,0,0,0,0.9659258262890684,0.2588190451025208,918,0.021104232353685762
2021-06-03,0,0,0,0,1,0,0,0,1.0,6.123233995736766e-17,6674,0.15357529170790085
2021-06-03,0,0,0,0,1,0,0,0,0.9659258262890684,-0.2588190451025207,19897,0.45789510022784286
2021-06-03,0,0,0,0,1,0,0,0,0.8660254037844387,-0.4999999999999997,21247,0.48896458079215666
2021-06-03,0,0,0,0,1,0,0,0,0.7071067811865477,-0.7071067811865475,14325,0.3296586960023935
2021-06-03,0,0,0,0,1,0,0,0,0.4999999999999999,-0.8660254037844386,11022,0.253642033555039
2021-06-03,0,0,0,0,1,0,0,0,0.258819045102521,-0.9659258262890684,11770,0.2708568272306736
2021-06-03,0,0,0,0,1,0,0,0,1.2246467991473532e-16,-1.0,12654,0.2912015833927873
2021-06-03,0,0,0,0,1,0,0,0,-0.2588190451025208,-0.9659258262890684,13027,0.29978596580055694
2021-06-03,0,0,0,0,1,0,0,0,-0.4999999999999997,-0.8660254037844387,14704,0.338381164990449
2021-06-03,0,0,0,0,1,0,0,0,-0.7071067811865471,-0.707106781186548,14564,0.3351591447837794
2021-06-03,0,0,0,0,1,0,0,0,-0.8660254037844383,-0.5000000000000003,16897,0.38885181008492326
2021-06-03,0,0,0,0,1,0,0,0,-0.9659258262890684,-0.2588190451025207,18753,0.4315665922533428
2021-06-03,0,0,0,0,1,0,0,0,-1.0,-1.8369701987210292e-16,24308,0.5594117511679824
2021-06-03,0,0,0,0,1,0,0,0,-0.9659258262890684,0.2588190451025203,22204,0.510989390347748
2021-06-03,0,0,0,0,1,0,0,0,-0.8660254037844385,0.5,13153,0.30268578398655954
2021-06-03,0,0,0,0,1,0,0,0,-0.7071067811865477,0.7071067811865474,9817,0.22590964534763294
2021-06-03,0,0,0,0,1,0,0,0,-0.5000000000000003,0.8660254037844383,3693,0.0849692757358864
2021-06-03,0,0,0,0,1,0,0,0,-0.2588190451025215,0.9659258262890682,1550,0.03564935214379416
2021-06-04,0,0,0,0,0,1,0,0,0.0,1.0,70,0.001587995673287151
2021-06-04,0,0,0,0,0,1,0,0,0.9659258262890684,0.2588190451025208,942,0.02165657867482912
2021-06-04,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,6916,0.1591447837794297
2021-06-04,0,0,0,0,0,1,0,0,0.9659258262890684,-0.2588190451025207,19738,0.4542358058502681
2021-06-04,0,0,0,0,0,1,0,0,0.8660254037844387,-0.4999999999999997,20728,0.4770200915974316
2021-06-04,0,0,0,0,0,1,0,0,0.7071067811865477,-0.7071067811865475,14075,0.32390508849048355
2021-06-04,0,0,0,0,0,1,0,0,0.4999999999999999,-0.8660254037844386,11237,0.2585901360152816
2021-06-04,0,0,0,0,0,1,0,0,0.258819045102521,-0.9659258262890684,10734,0.24701387770131872
2021-06-04,0,0,0,0,0,1,0,0,1.2246467991473532e-16,-1.0,12408,0.28554003360106783
2021-06-04,0,0,0,0,0,1,0,0,-0.2588190451025208,-0.9659258262890684,12829,0.29522910865112423
2021-06-04,0,0,0,0,0,1,0,0,-0.4999999999999997,-0.8660254037844387,15645,0.36003774366527813
2021-06-04,0,0,0,0,0,1,0,0,-0.7071067811865471,-0.707106781186548,15951,0.36708015925985593
2021-06-04,0,0,0,0,0,1,0,0,-0.8660254037844383,-0.5000000000000003,18133,0.4172976456238061
2021-06-04,0,0,0,0,0,1,0,0,-0.9659258262890684,-0.2588190451025207,20762,0.47780258221905136
2021-06-04,0,0,0,0,0,1,0,0,-1.0,-1.8369701987210292e-16,25733,0.5922073139858692
2021-06-04,0,0,0,0,0,1,0,0,-0.9659258262890684,0.2588190451025203,24081,0.5541874755471681
2021-06-04,0,0,0,0,0,1,0,0,-0.8660254037844385,0.5,15634,0.35978458493475407
2021-06-04,0,0,0,0,0,1,0,0,-0.7071067811865477,0.7071067811865474,11828,0.2721916641734367
2021-06-04,0,0,0,0,0,1,0,0,-0.5000000000000003,0.8660254037844383,4963,0.11419760189638904
